Id,created,updated,lastLogin,groupId,clientSystemId,sumPoints,groupPoints,contributePercentage,contributeAnticipate,averageContribution
135791125,01/08/2015,29/08/2015,01/09/2015,נויה,4500,500,3080,16.23%,11.00%,9.09%
135791140,01/08/2015,29/08/2015,01/09/2015,נויה,4501,510,3080,16.56%,11.00%,9.09%
135791155,15/07/2015,29/08/2015,01/09/2015,נויה,4502,150,3080,4.87%,11.00%,9.09%
135791170,01/08/2015,29/08/2015,01/09/2015,נויה,4503,200,3080,6.49%,11.00%,9.09%
135791185,01/08/2015,29/08/2015,01/09/2015,נויה,4504,210,3080,6.82%,11.00%,9.09%
135791200,15/08/2015,29/08/2015,01/09/2015,נויה,4505,390,3080,12.66%,11.00%,9.09%
135791215,01/08/2015,29/08/2015,01/09/2015,נויה,4506,400,3080,12.99%,11.00%,9.09%
135791230,01/07/2015,29/08/2015,01/09/2015,נויה,4507,40,3080,1.30%,11.00%,9.09%
135791245,01/08/2015,29/08/2015,01/09/2015,נויה,4508,70,3080,2.27%,11.00%,9.09%
135791260,01/08/2015,29/08/2015,01/09/2015,נויה,4509,300,3080,9.74%,11.00%,9.09%
135791275,01/08/2015,29/08/2015,01/09/2015,נויה,4510,310,3080,10.06%,11.00%,9.09%
135791290,01/07/2015,29/08/2015,01/09/2015,יפית,4511,320,2565,12.48%,10.00%,10.00%
135791305,15/07/2015,29/08/2015,01/09/2015,יפית,4512,45,2565,1.75%,10.00%,10.00%
135791320,01/08/2015,29/08/2015,01/09/2015,יפית,4513,110,2565,4.29%,10.00%,10.00%
135791335,15/07/2015,29/08/2015,01/09/2015,יפית,4514,120,2565,4.68%,10.00%,10.00%
135791350,01/08/2015,29/08/2015,01/09/2015,יפית,4515,200,2565,7.80%,10.00%,10.00%
135791365,01/08/2015,29/08/2015,01/09/2015,יפית,4516,300,2565,11.70%,10.00%,10.00%
135791380,01/08/2015,29/08/2015,01/09/2015,יפית,4517,310,2565,12.09%,10.00%,10.00%
135791395,15/07/2015,29/08/2015,01/09/2015,יפית,4518,400,2565,15.59%,10.00%,10.00%
135791410,01/08/2015,29/08/2015,01/09/2015,יפית,4519,560,2565,21.83%,10.00%,10.00%
135791425,15/08/2015,29/08/2015,01/09/2015,יפית,4520,200,2565,7.80%,10.00%,10.00%
135791440,01/08/2015,29/08/2015,01/09/2015,יותם,4521,300,2170,13.82%,7.00%,14.29%
135791455,01/08/2015,29/08/2015,01/09/2015,יותם,4522,310,2170,14.29%,7.00%,14.29%
135791470,01/08/2015,29/08/2015,01/09/2015,יותם,4523,50,2170,2.30%,7.00%,14.29%
135791485,01/08/2015,29/08/2015,01/09/2015,יותם,4524,60,2170,2.76%,7.00%,14.29%
135791500,15/08/2015,29/08/2015,01/09/2015,יותם,4525,520,2170,23.96%,7.00%,14.29%
135791515,01/08/2015,29/08/2015,01/09/2015,יותם,4526,530,2170,24.42%,7.00%,14.29%
135791530,01/07/2015,29/08/2015,01/09/2015,יותם,4527,400,2170,18.43%,7.00%,14.29%
135791545,01/08/2015,29/08/2015,01/09/2015,שמעון,4528,410,2100,19.52%,9.00%,11.11%
135791560,01/08/2015,29/08/2015,01/09/2015,שמעון,4529,110,2100,5.24%,9.00%,11.11%
135791575,01/08/2015,29/08/2015,01/09/2015,שמעון,4530,120,2100,5.71%,9.00%,11.11%
135791590,15/08/2015,29/08/2015,01/09/2015,שמעון,4531,600,2100,28.57%,9.00%,11.11%
135791605,01/08/2015,29/08/2015,01/09/2015,שמעון,4532,50,2100,2.38%,9.00%,11.11%
135791620,01/08/2015,29/08/2015,01/09/2015,שמעון,4533,80,2100,3.81%,9.00%,11.11%
135791635,01/08/2015,29/08/2015,01/09/2015,שמעון,4534,210,2100,10.00%,9.00%,11.11%
135791650,01/08/2015,29/08/2015,01/09/2015,שמעון,4535,220,2100,10.48%,9.00%,11.11%
135791665,01/08/2015,29/08/2015,01/09/2015,שמעון,4536,300,2100,14.29%,9.00%,11.11%
135791680,15/08/2015,29/08/2015,01/09/2015,מיכל,4537,310,2755,11.25%,10.00%,10.00%
135791695,01/08/2015,29/08/2015,01/09/2015,מיכל,4538,325,2755,11.80%,10.00%,10.00%
135791710,15/07/2015,29/08/2015,01/09/2015,מיכל,4539,265,2755,9.62%,10.00%,10.00%
135791725,01/08/2015,29/08/2015,01/09/2015,מיכל,4540,275,2755,9.98%,10.00%,10.00%
135791740,01/08/2015,29/08/2015,01/09/2015,מיכל,4541,300,2755,10.89%,10.00%,10.00%
135791755,15/08/2015,29/08/2015,01/09/2015,מיכל,4542,200,2755,7.26%,10.00%,10.00%
135791770,01/08/2015,29/08/2015,01/09/2015,מיכל,4543,45,2755,1.63%,10.00%,10.00%
135791785,01/08/2015,29/08/2015,01/09/2015,מיכל,4544,55,2755,2.00%,10.00%,10.00%
135791800,01/08/2015,29/08/2015,01/09/2015,מיכל,4545,555,2755,20.15%,10.00%,10.00%
135791815,01/08/2015,29/08/2015,01/09/2015,מיכל,4546,425,2755,15.43%,10.00%,10.00%
135791830,01/08/2015,29/08/2015,01/09/2015,עידן,4547,435,2820,15.43%,10.00%,10.00%
135791845,01/07/2015,29/08/2015,01/09/2015,עידן,4548,285,2820,10.11%,10.00%,10.00%
135791860,01/08/2015,29/08/2015,01/09/2015,עידן,4549,295,2820,10.46%,10.00%,10.00%
135791875,01/08/2015,29/08/2015,01/09/2015,עידן,4550,105,2820,3.72%,10.00%,10.00%
135791890,01/08/2015,29/08/2015,01/09/2015,עידן,4551,30,2820,1.06%,10.00%,10.00%
135791905,15/08/2015,29/08/2015,01/09/2015,עידן,4552,120,2820,4.26%,10.00%,10.00%
135791920,01/08/2015,29/08/2015,01/09/2015,עידן,4553,130,2820,4.61%,10.00%,10.00%
135791935,01/08/2015,29/08/2015,01/09/2015,עידן,4554,505,2820,17.91%,10.00%,10.00%
135791950,01/08/2015,29/08/2015,01/09/2015,עידן,4555,350,2820,12.41%,10.00%,10.00%
135791965,15/08/2015,29/08/2015,01/09/2015,עידן,4556,565,2820,20.04%,10.00%,10.00%
135791980,01/08/2015,29/08/2015,01/09/2015,גל,4557,575,4135,13.91%,13.00%,7.69%
135791995,01/08/2015,29/08/2015,01/09/2015,גל,4558,400,4135,9.67%,13.00%,7.69%
135792010,01/08/2015,29/08/2015,01/09/2015,גל,4559,410,4135,9.92%,13.00%,7.69%
135792025,15/07/2015,29/08/2015,01/09/2015,גל,4560,420,4135,10.16%,13.00%,7.69%
135792040,01/08/2015,29/08/2015,01/09/2015,גל,4561,500,4135,12.09%,13.00%,7.69%
135792055,01/08/2015,29/08/2015,01/09/2015,גל,4562,510,4135,12.33%,13.00%,7.69%
135792070,01/08/2015,29/08/2015,01/09/2015,גל,4563,250,4135,6.05%,13.00%,7.69%
135792085,01/08/2015,29/08/2015,01/09/2015,גל,4564,260,4135,6.29%,13.00%,7.69%
135792100,01/08/2015,29/08/2015,01/09/2015,גל,4565,310,4135,7.50%,13.00%,7.69%
135792115,01/08/2015,29/08/2015,01/09/2015,גל,4566,320,4135,7.74%,13.00%,7.69%
135792130,01/08/2015,29/08/2015,01/09/2015,גל,4567,50,4135,1.21%,13.00%,7.69%
135792145,01/08/2015,29/08/2015,01/09/2015,גל,4568,60,4135,1.45%,13.00%,7.69%
135792160,01/07/2015,29/08/2015,01/09/2015,גל,4569,70,4135,1.69%,13.00%,7.69%
135792175,15/08/2015,29/08/2015,01/09/2015,מעיין,4570,80,3295,2.43%,11.00%,9.09%
135792190,01/08/2015,29/08/2015,01/09/2015,מעיין,4571,60,3295,1.82%,11.00%,9.09%
135792205,01/08/2015,29/08/2015,01/09/2015,מעיין,4572,150,3295,4.55%,11.00%,9.09%
135792220,01/08/2015,29/08/2015,01/09/2015,מעיין,4573,200,3295,6.07%,11.00%,9.09%
135792235,01/08/2015,29/08/2015,01/09/2015,מעיין,4574,210,3295,6.37%,11.00%,9.09%
135792250,01/08/2015,29/08/2015,01/09/2015,מעיין,4575,360,3295,10.93%,11.00%,9.09%
135792265,01/08/2015,29/08/2015,01/09/2015,מעיין,4576,420,3295,12.75%,11.00%,9.09%
135792280,01/08/2015,29/08/2015,01/09/2015,מעיין,4577,360,3295,10.93%,11.00%,9.09%
135792295,01/08/2015,29/08/2015,01/09/2015,מעיין,4578,405,3295,12.29%,11.00%,9.09%
135792310,01/08/2015,29/08/2015,01/09/2015,מעיין,4579,520,3295,15.78%,11.00%,9.09%
135792325,01/08/2015,29/08/2015,01/09/2015,מעיין,4580,530,3295,16.08%,11.00%,9.09%
135792340,15/07/2015,29/08/2015,01/09/2015,ירדן,4581,540,3335,16.19%,10.00%,10.00%
135792355,01/08/2015,29/08/2015,01/09/2015,ירדן,4582,300,3335,9.00%,10.00%,10.00%
135792370,01/08/2015,29/08/2015,01/09/2015,ירדן,4583,265,3335,7.95%,10.00%,10.00%
135792385,01/08/2015,29/08/2015,01/09/2015,ירדן,4584,305,3335,9.15%,10.00%,10.00%
135792400,15/08/2015,29/08/2015,01/09/2015,ירדן,4585,315,3335,9.45%,10.00%,10.00%
135792415,01/08/2015,29/08/2015,01/09/2015,ירדן,4586,500,3335,14.99%,10.00%,10.00%
135792430,01/08/2015,29/08/2015,01/09/2015,ירדן,4587,575,3335,17.24%,10.00%,10.00%
135792445,01/08/2015,29/08/2015,01/09/2015,ירדן,4588,105,3335,3.15%,10.00%,10.00%
135792460,15/08/2015,29/08/2015,01/09/2015,ירדן,4589,30,3335,0.90%,10.00%,10.00%
135792475,01/07/2015,29/08/2015,01/09/2015,ירדן,4590,400,3335,11.99%,10.00%,10.00%
135792490,01/07/2015,29/08/2015,01/09/2015,עמית,4591,150,2875,5.22%,10.00%,10.00%
135792505,01/08/2015,29/08/2015,01/09/2015,עמית,4592,160,2875,5.57%,10.00%,10.00%
135792520,01/08/2015,29/08/2015,01/09/2015,עמית,4593,210,2875,7.30%,10.00%,10.00%
135792535,01/08/2015,29/08/2015,01/09/2015,עמית,4594,305,2875,10.61%,10.00%,10.00%
135792550,01/08/2015,29/08/2015,01/09/2015,עמית,4595,280,2875,9.74%,10.00%,10.00%
135792565,01/08/2015,29/08/2015,01/09/2015,עמית,4596,55,2875,1.91%,10.00%,10.00%
135792580,01/08/2015,29/08/2015,01/09/2015,עמית,4597,65,2875,2.26%,10.00%,10.00%
135792595,01/08/2015,29/08/2015,01/09/2015,עמית,4598,520,2875,18.09%,10.00%,10.00%
135792610,01/08/2015,29/08/2015,01/09/2015,עמית,4599,530,2875,18.43%,10.00%,10.00%
135792625,01/08/2015,29/08/2015,01/09/2015,עמית,4600,600,2875,20.87%,10.00%,10.00%
135792640,01/08/2015,29/08/2015,01/09/2015,עופרי,4601,80,2485,3.22%,9.00%,11.11%
135792655,15/07/2015,29/08/2015,01/09/2015,עופרי,4602,120,2485,4.83%,9.00%,11.11%
135792670,01/08/2015,29/08/2015,01/09/2015,עופרי,4603,130,2485,5.23%,9.00%,11.11%
135792685,01/08/2015,29/08/2015,01/09/2015,עופרי,4604,250,2485,10.06%,9.00%,11.11%
135792700,01/08/2015,29/08/2015,01/09/2015,עופרי,4605,260,2485,10.46%,9.00%,11.11%
135792715,01/08/2015,29/08/2015,01/09/2015,עופרי,4606,425,2485,17.10%,9.00%,11.11%
135792730,01/08/2015,29/08/2015,01/09/2015,עופרי,4607,560,2485,22.54%,9.00%,11.11%
135792745,15/07/2015,29/08/2015,01/09/2015,עופרי,4608,325,2485,13.08%,9.00%,11.11%
135792760,01/08/2015,29/08/2015,01/09/2015,עופרי,4609,335,2485,13.48%,9.00%,11.11%