clientSystemId,SumPoints,robotPicName,backgroundPicture
4500,500,1103,0003mainBGVars_daylightSnowing
4501,510,1104,0003mainBGVars_daylightSnowing
4502,150,1101,0003mainBGVars_daylightSnowing
4503,200,1102,0003mainBGVars_daylightSnowing
4504,210,1102,0003mainBGVars_daylightSnowing
4505,390,1103,0003mainBGVars_daylightSnowing
4506,400,1103,0003mainBGVars_daylightSnowing
4507,40,1101,0003mainBGVars_daylightSnowing
4508,70,1101,0003mainBGVars_daylightSnowing
4509,300,1102,0003mainBGVars_daylightSnowing
4510,310,1102,0003mainBGVars_daylightSnowing
4511,320,1102,0003mainBGVars_daylightSnowing
4512,45,1101,0003mainBGVars_daylightSnowing
4513,110,1101,0003mainBGVars_daylightSnowing
4514,120,1101,0003mainBGVars_daylightSnowing
4515,200,1102,0003mainBGVars_daylightSnowing
4516,300,1102,0003mainBGVars_daylightSnowing
4517,310,1102,0003mainBGVars_daylightSnowing
4518,400,1103,0003mainBGVars_daylightSnowing
4519,560,1104,0003mainBGVars_daylightSnowing
4520,200,1102,0003mainBGVars_daylightSnowing
4521,300,1102,0003mainBGVars_daylightSnowing
4522,310,1102,0003mainBGVars_daylightSnowing
4523,50,1101,0003mainBGVars_daylightSnowing
4524,60,1101,0003mainBGVars_daylightSnowing
4525,520,1104,0003mainBGVars_daylightSnowing
4526,530,1104,0003mainBGVars_daylightSnowing
4527,400,1103,0003mainBGVars_daylightSnowing
4528,410,1103,0003mainBGVars_daylightSnowing
4529,110,1101,0003mainBGVars_daylightSnowing
4530,120,1101,0003mainBGVars_daylightSnowing
4531,600,1104,0003mainBGVars_daylightSnowing
4532,50,1101,0003mainBGVars_daylightSnowing
4533,80,1101,0003mainBGVars_daylightSnowing
4534,210,1102,0003mainBGVars_daylightSnowing
4535,220,1102,0003mainBGVars_daylightSnowing
4536,300,1102,0003mainBGVars_daylightSnowing
4537,310,1102,0003mainBGVars_daylightSnowing
4538,325,1102,0003mainBGVars_daylightSnowing
4539,265,1102,0003mainBGVars_daylightSnowing
4540,275,1102,0003mainBGVars_daylightSnowing
4541,300,1102,0003mainBGVars_daylightSnowing
4542,200,1102,0003mainBGVars_daylightSnowing
4543,45,1101,0003mainBGVars_daylightSnowing
4544,55,1101,0003mainBGVars_daylightSnowing
4545,555,1104,0003mainBGVars_daylightSnowing
4546,425,1103,0003mainBGVars_daylightSnowing
4547,435,1103,0003mainBGVars_daylightSnowing
4548,285,1102,0003mainBGVars_daylightSnowing
4549,295,1102,0003mainBGVars_daylightSnowing
4550,105,1101,0003mainBGVars_daylightSnowing
4551,30,1101,0003mainBGVars_daylightSnowing
4552,120,1101,0003mainBGVars_daylightSnowing
4553,130,1101,0003mainBGVars_daylightSnowing
4554,505,1104,0003mainBGVars_daylightSnowing
4555,350,1102,0003mainBGVars_daylightSnowing
4556,565,1104,0003mainBGVars_daylightSnowing
4557,575,1104,0003mainBGVars_daylightSnowing
4558,400,1103,0003mainBGVars_daylightSnowing
4559,410,1103,0003mainBGVars_daylightSnowing
4560,420,1103,0003mainBGVars_daylightSnowing
4561,500,1103,0003mainBGVars_daylightSnowing
4562,510,1104,0003mainBGVars_daylightSnowing
4563,250,1102,0003mainBGVars_daylightSnowing
4564,260,1102,0003mainBGVars_daylightSnowing
4565,310,1102,0003mainBGVars_daylightSnowing
4566,320,1102,0003mainBGVars_daylightSnowing
4567,50,1101,0003mainBGVars_daylightSnowing
4568,60,1101,0003mainBGVars_daylightSnowing
4569,70,1101,0003mainBGVars_daylightSnowing
4570,80,1101,0003mainBGVars_daylightSnowing
4571,60,1101,0003mainBGVars_daylightSnowing
4572,150,1101,0003mainBGVars_daylightSnowing
4573,200,1102,0003mainBGVars_daylightSnowing
4574,210,1102,0003mainBGVars_daylightSnowing
4575,360,1103,0003mainBGVars_daylightSnowing
4576,420,1103,0003mainBGVars_daylightSnowing
4577,360,1103,0003mainBGVars_daylightSnowing
4578,405,1103,0003mainBGVars_daylightSnowing
4579,520,1104,0003mainBGVars_daylightSnowing
4580,530,1104,0003mainBGVars_daylightSnowing
4581,540,1104,0003mainBGVars_daylightSnowing
4582,300,1102,0003mainBGVars_daylightSnowing
4583,265,1102,0003mainBGVars_daylightSnowing
4584,305,1102,0003mainBGVars_daylightSnowing
4585,315,1102,0003mainBGVars_daylightSnowing
4586,500,1103,0003mainBGVars_daylightSnowing
4587,575,1104,0003mainBGVars_daylightSnowing
4588,105,1101,0003mainBGVars_daylightSnowing
4589,30,1101,0003mainBGVars_daylightSnowing
4590,400,1103,0003mainBGVars_daylightSnowing
4591,150,1101,0003mainBGVars_daylightSnowing
4592,160,1102,0003mainBGVars_daylightSnowing
4593,210,1102,0003mainBGVars_daylightSnowing
4594,305,1102,0003mainBGVars_daylightSnowing
4595,280,1102,0003mainBGVars_daylightSnowing
4596,55,1101,0003mainBGVars_daylightSnowing
4597,65,1101,0003mainBGVars_daylightSnowing
4598,520,1104,0003mainBGVars_daylightSnowing
4599,530,1104,0003mainBGVars_daylightSnowing
4600,600,1104,0003mainBGVars_daylightSnowing
4601,80,1101,0003mainBGVars_daylightSnowing
4602,120,1101,0003mainBGVars_daylightSnowing
4603,130,1101,0003mainBGVars_daylightSnowing
4604,250,1102,0003mainBGVars_daylightSnowing
4605,260,1102,0003mainBGVars_daylightSnowing
4606,425,1103,0003mainBGVars_daylightSnowing
4607,560,1104,0003mainBGVars_daylightSnowing
4608,325,1102,0003mainBGVars_daylightSnowing
4609,335,1102,0003mainBGVars_daylightSnowing